View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
Wilkin's Target (cfs),,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,,,,,,,,,,,,,
Keswick to Wilkins Acc/dep (cfs),,3663,-2987,-3906,-4906,-5728,-3849,-892,-637,-39,1025,3176,2657,,,,,,,,,,,,,
Flow@Wilkin's Slough (cfs),,7113,4731,4810,6382,6922,6301,7258,5563,4661,4500,6626,6857,,,,,,,,,,,,,
Sac AFRP,,4500,5500,5500,5500,3250,3250,3250,3250,6000,5500,5500,3750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,300,105,91,64,91,94,98,74,83,110,170,200,,,,,,,,,,,,,
Est. Evap.,,1.7,3.6,4.6,4.9,5.9,4.8,3.6,1.8,0.8,0.4,0.8,0.7,,,,,,,,,,,,,
Total Releases - TAF,,108,156,230,230,302,248,139,176,189,155,93,53,,,,,,,,,,,,,
Storage ,1460,1650,1596,1452,1281,1064,906,861,757,650,605,681,827,,,,,,,,,,,,,
Elevation (feet),,747,741,725,704,674,649,642,623,602,593,609,636,,,,,,,,,,,,,
Area (acres),,8465,9219,9002,8431,7744,6794,6089,5880,5381,4844,4613,5006,,,,,,,,,,,,,
Feather Minimum (cfs),,1759,1395,813,823,1838,1659,1462,1415,973,960,950,950,,,,,,,,,,,,,
Feather - Target (TAF),-cfs,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Actual Feather Release (TAF),-TAF,108,83,50,49,113,102,87,87,58,59,58,53,,,,,,,,,,,,,
Thermolito - Demand TAF,-Deliveries,0,73,180,181,189,146,52,89,131,96,35,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,154,117,86,62,59,59,46,50,50,60,70,110,,,,,,,,,,,,,
Est. Evap.,,1.7,3.4,4.6,5.2,5.3,4.1,3.6,1.7,0.8,0.5,0.9,0.7,,,,,,,,,,,,,
Total Release,,82.3,58.3,160.4,232.0,140.4,79.7,60.2,57.9,54.1,45.0,54.4,49.6,,,,,,,,,,,,,
Pumping (FP),,4.375,8.75,8.75,9.625,10.5,13.02,6.93,7,5.25,4.375,4.375,4.375,,,,,,,,,,,,,
FS Canal (FSC),,1.1,1.26,1.89,2.52,3.15,3.15,2.52,1.68,1.26,0.84,0.84,0.84,,,,,,,,,,,,,
Nimbus Minimum (cfs),,1250,800,1250,1250,2000,0,800,800,800,0,800,800,,,,,,,,,,,,,
Nimbus Minimum (TAF),,76.8,47.6,76.8,74.4,122.9,0.0,47.6,49.2,47.6,0.0,49.2,44.4,,,,,,,,,,,,,
Actual Nimbus Release (TAF),,76.8,48.3,149.8,219.8,126.8,63.5,50.7,49.2,47.6,39.7,49.2,44.4,,,,,,,,,,,,,
Storage,526,596,651,572,397,310,286,268,258,253,268,283,342,,,,,,,,,,,,,
Elevation (feet),,428,434,425,403,389,385,381,379,378,381,384,394,,,,,,,,,,,,,
Area (acres),,8609,8755,9047,8974,6958,5832,6112,5693,5139,5208,5693,5485,,,,,,,,,,,,,
Amer AFRP,,1750,2500,3520,2750,3750,3500,2250,2250,2500,2500,2500,2500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
