location,parameter,dss file,dss path
LEWISTON RESERVOIR,VOLUME-CLEAR CREEK DIVERSION,forecast/simGroups/2018/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/VOLUME-CLEAR CREEK DIVERSION//1MON/APR50_WY2018v-Historical-2011/
CARR POWERHOUSE,FLOW-RELEASE,forecast/simGroups/2018/bc.dss,/CLEAR CREEK/CARR POWERHOUSE/FLOW-RELEASE//1HOUR/APR50_WY2018v-Historical-2011/
Trinity-Clair Engle,ACTUAL STORAGE,forecast/simGroups/2018/bc.dss,//Trinity-Clair Engle/ACTUAL STORAGE//1MON/APR50_WY2018v-Historical-2011/
Trinity-Clair Engle,ELEVATION (FEET),forecast/simGroups/2018/bc.dss,//Trinity-Clair Engle/ELEVATION (FEET)//1MON/APR50_WY2018v-Historical-2011/
Trinity-Clair Engle,AREA (ACRES),forecast/simGroups/2018/bc.dss,//Trinity-Clair Engle/AREA (ACRES)//1MON/APR50_WY2018v-Historical-2011/
TRINITY LAKE,FLOW-ACC-DEP,forecast/simGroups/2018/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-ACC-DEP//1DAY/APR50_WY2018v-Historical-2011/
EF TRINITY,FLOW-IN,forecast/simGroups/2018/bc.dss,//EF TRINITY/FLOW-IN//1DAY/APR50_WY2018v-Historical-2011/
STUART FORK,FLOW-IN,forecast/simGroups/2018/bc.dss,//STUART FORK/FLOW-IN//1DAY/APR50_WY2018v-Historical-2011/
SWIFT CR,FLOW-IN,forecast/simGroups/2018/bc.dss,//SWIFT CR/FLOW-IN//1DAY/APR50_WY2018v-Historical-2011/
TRINITY RIVER,FLOW-IN,forecast/simGroups/2018/bc.dss,//TRINITY RIVER/FLOW-IN//1DAY/APR50_WY2018v-Historical-2011/
EF TRINITY,TEMP-WATER,forecast/simGroups/2018/bc.dss,//EF TRINITY/TEMP-WATER//1HOUR/APR50_WY2018v-Historical-2011/
STUART FORK,TEMP-WATER,forecast/simGroups/2018/bc.dss,//STUART FORK/TEMP-WATER//1HOUR/APR50_WY2018v-Historical-2011/
SWIFT CR,TEMP-WATER,forecast/simGroups/2018/bc.dss,//SWIFT CR/TEMP-WATER//1HOUR/APR50_WY2018v-Historical-2011/
TRINITY RIVER,TEMP-WATER,forecast/simGroups/2018/bc.dss,//TRINITY RIVER/TEMP-WATER//1HOUR/APR50_WY2018v-Historical-2011/
ZERO-BY-DAY,FLOW-ZERO,forecast/simGroups/2018/bc.dss,//ZERO-BY-DAY/FLOW-ZERO//1DAY/APR50_WY2018v-Historical-2011/
ZERO-BY-HOUR,FLOW-ZERO,forecast/simGroups/2018/bc.dss,//ZERO-BY-HOUR/FLOW-ZERO//1Hour/APR50_WY2018v-Historical-2011/
